date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:59	6768/6768	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Apr%202020%2017:27:59%20GMT	https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html	C:/Mes%20Sites%20Web/s/demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html	(from )
18:27:59	1002/1002	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Apr%202020%2017:27:59%20GMT	https://demo.w3layouts.com/robots.txt		(from )
18:28:00	10991/10991	---M-Z	200	added ('OK')	text/css	etag:%221536995154%22	https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/css/style.css	C:/Mes%20Sites%20Web/s/demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:02	57357/57357	---MCZ	200	added ('OK')	application/javascript	etag:W/%222810cf92cd9eee12826688f59e132e86%22	http://m.servedby-buysellads.com/monetization.js	C:/Mes%20Sites%20Web/s/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:02	1592/1592	---MCZ	200	added ('OK')	text/javascript	etag:W/%228131fc0d79789142893a56f4c994ca33%22	https://codefund.io/properties/441/funder.js	C:/Mes%20Sites%20Web/s/codefund.io/properties/441/funder.js	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:02	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/Mes%20Sites%20Web/s/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:03	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/Mes%20Sites%20Web/s/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:03	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Apr%202020%2017:28:03%20GMT	https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/images/logo.png	C:/Mes%20Sites%20Web/s/demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/images/logo.png	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:06	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Mes%20Sites%20Web/s/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/index.html)
18:28:06	223964/223964	---M--	200	added ('OK')	image/jpeg	etag:%221573816575%22	https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/images/2.jpg	C:/Mes%20Sites%20Web/s/demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/images/2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/15-09-2018/travel_login_form-demo_Free/2128478634/web/css/style.css)
